1,1,patodonald,118270487,Jossue,3000.0
1,2,rokefeler,125653265,Rokefeler,20000.0
2,201,cajerocalve,1254546546,Pablo,c1
2,302,123456,502250336,juan,b3
1,402,123465,402060434,cesar,8000.0
1,402,123465,402060434,cesar,8000.0
1,302,123456,5026003256,juan,10000.0
1,309,123456,302560456,Gretel,10000.0
2,508,123456,606580578,Fabian,f4
1,123,123456,402560257,Dunnia,2525.0
2,456,123456,302500524,Ignacio,l3
1,99,123456,1234654885,pablo,10000.0
2,2003,123456,118725846,Jossue,c1
1,3,123456,12132454665,Pedro,2000.0
1,4,123456,1531654854,Portujuan,2000.0
1,6,12312321,32423423423,Lenin,3999.0
